Reference	ID	Tags	OrigWords	Occurrence	TWLink
1:1	mhuj	keyterm	λόγος	1	rc://*/tw/dict/bible/kt/wordofgod
1:1	s4js	keyterm	λόγος	2	rc://*/tw/dict/bible/kt/wordofgod
1:1	gj8t	keyterm	Θεόν	1	rc://*/tw/dict/bible/kt/god
1:1	nccs	keyterm	Θεὸς	1	rc://*/tw/dict/bible/kt/god
1:1	w85d	keyterm	λόγος	3	rc://*/tw/dict/bible/kt/wordofgod
1:2	yj3d	keyterm	Θεόν	1	rc://*/tw/dict/bible/kt/god
1:4	eqcb	keyterm	ζωὴ	1	rc://*/tw/dict/bible/kt/life
1:4	ucr7	keyterm	ζωὴ	2	rc://*/tw/dict/bible/kt/life
1:4	n4d2		φῶς	1	rc://*/tw/dict/bible/other/light
1:5	a244		φῶς	1	rc://*/tw/dict/bible/other/light
1:5	e6ph		σκοτίᾳ	1	rc://*/tw/dict/bible/other/darkness
1:5	wg6p		σκοτία	1	rc://*/tw/dict/bible/other/darkness
1:6	fqsa		ἀπεσταλμένος	1	rc://*/tw/dict/bible/other/send
1:6	z5dg	keyterm	Θεοῦ	1	rc://*/tw/dict/bible/kt/god
1:6	q56a	keyterm	ὄνομα	1	rc://*/tw/dict/bible/kt/name
1:6	erdm	name	Ἰωάννης	1	rc://*/tw/dict/bible/names/johnthebaptist
1:7	zup3	keyterm	μαρτυρίαν	1	rc://*/tw/dict/bible/kt/testimony
1:7	yck4	keyterm	μαρτυρήσῃ	1	rc://*/tw/dict/bible/kt/testimony
1:7	j4z6		φωτός	1	rc://*/tw/dict/bible/other/light
1:7	rkwu	keyterm	πιστεύσωσιν	1	rc://*/tw/dict/bible/kt/believe
1:8	yc2e		φῶς	1	rc://*/tw/dict/bible/other/light
1:8	vsfa	keyterm	μαρτυρήσῃ	1	rc://*/tw/dict/bible/kt/testimony
1:8	j4du		φωτός	1	rc://*/tw/dict/bible/other/light
1:9	pfjh		φῶς	1	rc://*/tw/dict/bible/other/light
1:9	t4v2	keyterm	ἀληθινὸν	1	rc://*/tw/dict/bible/kt/true
1:9	f726	keyterm	κόσμον	1	rc://*/tw/dict/bible/kt/world
1:10	vbed	keyterm	κόσμῳ	1	rc://*/tw/dict/bible/kt/world
1:10	yqhy	keyterm	κόσμος	1	rc://*/tw/dict/bible/kt/world
1:10	fkvp	keyterm	κόσμος	2	rc://*/tw/dict/bible/kt/world
1:10	zfz8		ἔγνω	1	rc://*/tw/dict/bible/other/know
1:11	tvdj		παρέλαβον	1	rc://*/tw/dict/bible/other/receive
1:12	t3ab		ἔλαβον	1	rc://*/tw/dict/bible/other/receive
1:12	bd3c	keyterm	ἐξουσίαν	1	rc://*/tw/dict/bible/kt/authority
1:12	gt25	keyterm	τέκνα	1	rc://*/tw/dict/bible/kt/children
1:12	v4er	keyterm	Θεοῦ	1	rc://*/tw/dict/bible/kt/god
1:12	cvsm	keyterm	πιστεύουσιν	1	rc://*/tw/dict/bible/kt/believe
1:12	ws2n	keyterm	ὄνομα	1	rc://*/tw/dict/bible/kt/name
1:13	nhuz	keyterm	αἱμάτων	1	rc://*/tw/dict/bible/kt/blood
1:13	wa5g	keyterm	σαρκὸς	1	rc://*/tw/dict/bible/kt/flesh
1:13	sh6e	keyterm	Θεοῦ	1	rc://*/tw/dict/bible/kt/god
1:13	ddyv	keyterm	ἐγεννήθησαν	1	rc://*/tw/dict/bible/kt/bornagain
1:14	jvwf	keyterm	λόγος	1	rc://*/tw/dict/bible/kt/wordofgod
1:14	ewd4	keyterm	σὰρξ	1	rc://*/tw/dict/bible/kt/flesh
1:14	hf7r	keyterm	δόξαν	1	rc://*/tw/dict/bible/kt/glory
1:14	u6sj	keyterm	δόξαν	2	rc://*/tw/dict/bible/kt/glory
1:14	y4vs		ὡς	1	rc://*/tw/dict/bible/other/like
1:14	a59a	keyterm	πατρός	1	rc://*/tw/dict/bible/kt/godthefather
1:14	u3v5	keyterm	χάριτος	1	rc://*/tw/dict/bible/kt/grace
1:14	x9kk	keyterm	ἀληθείας	1	rc://*/tw/dict/bible/kt/true
1:15	mprz	name	Ἰωάννης	1	rc://*/tw/dict/bible/names/johnthebaptist
1:15	tf82	keyterm	μαρτυρεῖ	1	rc://*/tw/dict/bible/kt/testimony
1:15	v5ze		κέκραγεν	1	rc://*/tw/dict/bible/other/cry
1:16	djes		ἐλάβομεν	1	rc://*/tw/dict/bible/other/receive
1:16	pscy	keyterm	χάριν	1	rc://*/tw/dict/bible/kt/grace
1:16	c9at	keyterm	χάριτος	1	rc://*/tw/dict/bible/kt/grace
1:17	fb96	keyterm	νόμος	1	rc://*/tw/dict/bible/kt/lawofmoses
1:17	p2j2	name	Μωϋσέως	1	rc://*/tw/dict/bible/names/moses
1:17	th67	keyterm	χάρις	1	rc://*/tw/dict/bible/kt/grace
1:17	dh8f	keyterm	ἀλήθεια	1	rc://*/tw/dict/bible/kt/true
1:17	ecjq	keyterm; name	Ἰησοῦ	1	rc://*/tw/dict/bible/kt/jesus
1:17	dmed	keyterm	Χριστοῦ	1	rc://*/tw/dict/bible/kt/christ
1:18	x225	keyterm	Θεὸν	1	rc://*/tw/dict/bible/kt/god
1:18	memd	keyterm	Θεὸς	1	rc://*/tw/dict/bible/kt/god
1:18	at5h	keyterm	Πατρὸς	1	rc://*/tw/dict/bible/kt/godthefather
1:19	qdn9	keyterm	μαρτυρία	1	rc://*/tw/dict/bible/kt/testimony
1:19	g9qb	name	Ἰωάννου	1	rc://*/tw/dict/bible/names/johnthebaptist
1:19	jmc6		ἀπέστειλαν	1	rc://*/tw/dict/bible/other/send
1:19	cp3j	keyterm	Ἰουδαῖοι	1	rc://*/tw/dict/bible/kt/jew
1:19	p7d9	name	Ἱεροσολύμων	1	rc://*/tw/dict/bible/names/jerusalem
1:19	h24m	keyterm	ἱερεῖς	1	rc://*/tw/dict/bible/kt/priest
1:19	e53u	name	Λευείτας	1	rc://*/tw/dict/bible/names/levite
1:20	m4bz	keyterm	ὡμολόγησεν	1	rc://*/tw/dict/bible/kt/confess
1:20	d3bd	keyterm	ὡμολόγησεν	2	rc://*/tw/dict/bible/kt/confess
1:20	qdez	keyterm	Χριστός	1	rc://*/tw/dict/bible/kt/christ
1:21	h9rg	name	Ἠλείας	1	rc://*/tw/dict/bible/names/elijah
1:21	suyf	keyterm	προφήτης	1	rc://*/tw/dict/bible/kt/prophet
1:22	rmxw		πέμψασιν	1	rc://*/tw/dict/bible/other/send
1:23	xwrc		φωνὴ	1	rc://*/tw/dict/bible/other/voice
1:23	jdac		βοῶντος	1	rc://*/tw/dict/bible/other/cry
1:23	n7qu		ἐρήμῳ	1	rc://*/tw/dict/bible/other/desert
1:23	v6ur	keyterm	Κυρίου	1	rc://*/tw/dict/bible/kt/lord
1:23	kgd3		καθὼς	1	rc://*/tw/dict/bible/other/like
1:23	xjv4	name	Ἠσαΐας	1	rc://*/tw/dict/bible/names/isaiah
1:23	h75b	keyterm	προφήτης	1	rc://*/tw/dict/bible/kt/prophet
1:24	bxh2		ἀπεσταλμένοι	1	rc://*/tw/dict/bible/other/send
1:24	asks	keyterm	Φαρισαίων	1	rc://*/tw/dict/bible/kt/pharisee
1:25	e9wv	keyterm	βαπτίζεις	1	rc://*/tw/dict/bible/kt/baptize
1:25	qc6q	keyterm	Χριστὸς	1	rc://*/tw/dict/bible/kt/christ
1:25	fbyd	name	Ἠλείας	1	rc://*/tw/dict/bible/names/elijah
1:25	wtdc	keyterm	προφήτης	1	rc://*/tw/dict/bible/kt/prophet
1:26	x3sh	name	Ἰωάννης	1	rc://*/tw/dict/bible/names/johnthebaptist
1:26	zhze	keyterm	βαπτίζω	1	rc://*/tw/dict/bible/kt/baptize
1:26	csu6		ὕδατι	1	rc://*/tw/dict/bible/other/water
1:26	mvy9		οἴδατε	1	rc://*/tw/dict/bible/other/know
1:27	sqjt	keyterm	ἄξιος	1	rc://*/tw/dict/bible/kt/worthy
