Reference	ID	Tags	OrigWords	Occurrence	TWLink
1:2	dn3p		καθὼς	1	rc://*/tw/dict/bible/other/like
1:2	huby	keyterm	αὐτόπται	1	rc://*/tw/dict/bible/kt/testimony
1:2	nh6x		ὑπηρέται	1	rc://*/tw/dict/bible/other/servant
1:2	fvhc	keyterm	λόγου	1	rc://*/tw/dict/bible/kt/wordofgod
1:4	eeqk		ἐπιγνῷς	1	rc://*/tw/dict/bible/other/know
1:4	zukz		κατηχήθης	1	rc://*/tw/dict/bible/other/teach
1:5	zzbx		ἡμέραις	1	rc://*/tw/dict/bible/other/biblicaltimeday
1:5	xh2g		βασιλέως	1	rc://*/tw/dict/bible/other/king
1:5	tba5	name	Ἡρῴδου βασιλέως	1	rc://*/tw/dict/bible/names/herodthegreat
1:5	kzht	name	Ἰουδαίας	1	rc://*/tw/dict/bible/names/judea
1:5	ervj	keyterm	ἱερεύς	1	rc://*/tw/dict/bible/kt/priest
1:5	qk97	keyterm	ὀνόματι	1	rc://*/tw/dict/bible/kt/name
1:5	t8cj	name	Ζαχαρίας	1	rc://*/tw/dict/bible/names/zechariahnt
1:5	a67e	name	Ἀβιά	1	rc://*/tw/dict/bible/names/abijah
1:5	y59q	name	Ἀαρών	1	rc://*/tw/dict/bible/names/aaron
1:5	zcsh	keyterm	ὄνομα	1	rc://*/tw/dict/bible/kt/name
1:5	mtdq	name	Ἐλεισάβετ	1	rc://*/tw/dict/bible/names/elizabeth
1:6	sdxa	keyterm	δίκαιοι	1	rc://*/tw/dict/bible/kt/righteous
1:6	dsky	keyterm	Θεοῦ	1	rc://*/tw/dict/bible/kt/god
1:6	zjdk		πορευόμενοι	1	rc://*/tw/dict/bible/other/walk
1:6	xq5b	keyterm	ἐντολαῖς	1	rc://*/tw/dict/bible/kt/command
1:6	jfy9		δικαιώμασιν	1	rc://*/tw/dict/bible/other/ordinance
1:6	pebt	keyterm	Κυρίου	1	rc://*/tw/dict/bible/kt/lord
1:6	eakb	keyterm	ἄμεμπτοι	1	rc://*/tw/dict/bible/kt/blameless
1:7	g29a	keyterm	τέκνον	1	rc://*/tw/dict/bible/kt/children
1:7	mrge	name	Ἐλεισάβετ	1	rc://*/tw/dict/bible/names/elizabeth
1:7	urys		στεῖρα	1	rc://*/tw/dict/bible/other/barren
1:7	pw2q		ἡμέραις	1	rc://*/tw/dict/bible/other/biblicaltimeday
1:8	ycyu	keyterm	Θεοῦ	1	rc://*/tw/dict/bible/kt/god
1:9	h64m	keyterm	ἱερατείας	1	rc://*/tw/dict/bible/kt/priest
1:9	vn8y		θυμιᾶσαι	1	rc://*/tw/dict/bible/other/incense
1:9	p7rj	keyterm	ναὸν	1	rc://*/tw/dict/bible/kt/temple
1:9	dw6c	keyterm	Κυρίου	1	rc://*/tw/dict/bible/kt/lord
1:10	d6f3		λαοῦ	1	rc://*/tw/dict/bible/other/peoplegroup
1:10	dvj4	keyterm	προσευχόμενον	1	rc://*/tw/dict/bible/kt/pray
1:10	uyhu		ὥρᾳ	1	rc://*/tw/dict/bible/other/hour
1:10	a3nc		θυμιάματος	1	rc://*/tw/dict/bible/other/incense
1:11	vdbk	keyterm	ἄγγελος	1	rc://*/tw/dict/bible/kt/angel
1:11	bt9s	keyterm	Κυρίου	1	rc://*/tw/dict/bible/kt/lord
1:11	kd9f	keyterm	θυσιαστηρίου	1	rc://*/tw/dict/bible/kt/altar
1:11	m8u7		θυμιάματος	1	rc://*/tw/dict/bible/other/incense
1:11	v7we		θυσιαστηρίου τοῦ θυμιάματος	1	rc://*/tw/dict/bible/other/altarofincense
1:12	cnkc		ἐταράχθη	1	rc://*/tw/dict/bible/other/trouble
1:12	ax29	name	Ζαχαρίας	1	rc://*/tw/dict/bible/names/zechariahnt
1:12	ywnf	keyterm	φόβος	1	rc://*/tw/dict/bible/kt/fear
1:13	bumj	keyterm	ἄγγελος	1	rc://*/tw/dict/bible/kt/angel
1:13	t74r	keyterm	φοβοῦ	1	rc://*/tw/dict/bible/kt/fear
1:13	nsz6	name	Ζαχαρία	1	rc://*/tw/dict/bible/names/zechariahnt
1:13	bxx3	keyterm	δέησίς	1	rc://*/tw/dict/bible/kt/pray
1:13	apwe	name	Ἐλεισάβετ	1	rc://*/tw/dict/bible/names/elizabeth
1:13	xvhd		γεννήσει	1	rc://*/tw/dict/bible/other/bear
1:13	d3sv	keyterm	υἱόν	1	rc://*/tw/dict/bible/kt/son
1:13	f953	keyterm	καλέσεις	1	rc://*/tw/dict/bible/kt/call
1:13	cddp	keyterm	ὄνομα	1	rc://*/tw/dict/bible/kt/name
1:13	x6gd	name	Ἰωάννην	1	rc://*/tw/dict/bible/names/johnthebaptist
1:14	yscn		χαρά	1	rc://*/tw/dict/bible/other/joy
1:14	zgzr		ἀγαλλίασις	1	rc://*/tw/dict/bible/other/exult
1:14	uf3c		χαρήσονται	1	rc://*/tw/dict/bible/other/joy
1:15	gb6t	keyterm	Κυρίου	1	rc://*/tw/dict/bible/kt/lord
1:15	dwwe		οἶνον	1	rc://*/tw/dict/bible/other/wine
1:15	eae5		σίκερα	1	rc://*/tw/dict/bible/other/strongdrink
1:15	h9h6	keyterm	Πνεύματος Ἁγίου	1	rc://*/tw/dict/bible/kt/holyspirit
1:15	teyk	keyterm	πλησθήσεται	1	rc://*/tw/dict/bible/kt/filled
1:15	bqts		κοιλίας	1	rc://*/tw/dict/bible/other/womb
1:16	y66y	keyterm	υἱῶν	1	rc://*/tw/dict/bible/kt/son
1:16	vvqp	keyterm	Ἰσραὴλ	1	rc://*/tw/dict/bible/kt/israel
1:16	hqum		ἐπιστρέψει	1	rc://*/tw/dict/bible/other/turn
1:16	xkbx	keyterm	Κύριον	1	rc://*/tw/dict/bible/kt/lord
1:16	vcb3	keyterm	Θεὸν	1	rc://*/tw/dict/bible/kt/god
1:17	zyfs	keyterm	πνεύματι	1	rc://*/tw/dict/bible/kt/spirit
1:17	tmsv	keyterm	δυνάμει	1	rc://*/tw/dict/bible/kt/power
1:17	zz9j	name	Ἠλεία	1	rc://*/tw/dict/bible/names/elijah
1:17	hmt8		ἐπιστρέψαι	1	rc://*/tw/dict/bible/other/turn
1:17	zv7f	keyterm	καρδίας	1	rc://*/tw/dict/bible/kt/heart
1:17	xj54		πατέρων	1	rc://*/tw/dict/bible/other/father
1:17	ugzz	keyterm	τέκνα	1	rc://*/tw/dict/bible/kt/children
1:17	c8ns		ἀπειθεῖς	1	rc://*/tw/dict/bible/other/disobey
1:17	ay62	keyterm	φρονήσει	1	rc://*/tw/dict/bible/kt/wise
1:17	kn5s	keyterm	δικαίων	1	rc://*/tw/dict/bible/kt/righteous
1:17	qjvm	keyterm	Κυρίῳ	1	rc://*/tw/dict/bible/kt/lord
1:17	nqrh		λαὸν	1	rc://*/tw/dict/bible/other/peoplegroup
1:18	xr8n	name	Ζαχαρίας	1	rc://*/tw/dict/bible/names/zechariahnt
1:18	pqq9	keyterm	ἄγγελον	1	rc://*/tw/dict/bible/kt/angel
1:18	mkyr		γνώσομαι	1	rc://*/tw/dict/bible/other/know
1:18	jyxs		πρεσβύτης	1	rc://*/tw/dict/bible/other/elder
1:18	v8rc		ἡμέραις	1	rc://*/tw/dict/bible/other/biblicaltimeday
1:19	ywbd	keyterm	ἄγγελος	1	rc://*/tw/dict/bible/kt/angel
1:19	nh5u	name	Γαβριὴλ	1	rc://*/tw/dict/bible/names/gabriel
1:19	n33w	keyterm	Θεοῦ	1	rc://*/tw/dict/bible/kt/god
1:19	p4s4		ἀπεστάλην	1	rc://*/tw/dict/bible/other/send
1:20	y5ch		ἡμέρας	1	rc://*/tw/dict/bible/other/biblicaltimeday
