Reference	ID	Tags	OrigWords	Occurrence	TWLink
1:1	zwq9	name	עֹֽבַדְיָ֑ה	1	rc://*/tw/dict/bible/names/obadiah
1:1	hjfe	keyterm	אֲדֹנָ֨⁠י	1	rc://*/tw/dict/bible/kt/lord
1:1	vznt	keyterm	יְהוִ֜ה	1	rc://*/tw/dict/bible/kt/yahweh
1:1	h5tb	name	לֶ⁠אֱד֗וֹם	1	rc://*/tw/dict/bible/names/edom
1:1	hhhx	keyterm	יְהוָה֙	1	rc://*/tw/dict/bible/kt/yahweh
1:1	k7s2		וְ⁠צִיר֙	1	rc://*/tw/dict/bible/other/messenger
1:1	es3x		בַּ⁠גּוֹיִ֣ם	1	rc://*/tw/dict/bible/other/nation
1:2	hbvq		בַּ⁠גּוֹיִ֑ם	1	rc://*/tw/dict/bible/other/nation
1:3	ytjd		זְד֤וֹן	1	rc://*/tw/dict/bible/other/proud
1:3	s2b6	keyterm	לִבְּ⁠ךָ֙	1	rc://*/tw/dict/bible/kt/heart
1:3	trvu		הִשִּׁיאֶ֔⁠ךָ	1	rc://*/tw/dict/bible/other/deceive
1:3	rqft	keyterm	בְּ⁠לִבּ֔⁠וֹ	1	rc://*/tw/dict/bible/kt/heart
1:4	x69v		כַּ⁠נֶּ֔שֶׁר	1	rc://*/tw/dict/bible/other/eagle
1:4	w5rv	keyterm	יְהוָֽה	1	rc://*/tw/dict/bible/kt/yahweh
1:5	dwvt		גַּנָּבִ֤ים	1	rc://*/tw/dict/bible/other/thief
1:5	gtcw		שׁ֣וֹדְדֵי	1	rc://*/tw/dict/bible/other/thief
1:5	sgyy		נִדְמֵ֔יתָה	1	rc://*/tw/dict/bible/other/cutoff
1:5	trgq		עֹלֵלֽוֹת	1	rc://*/tw/dict/bible/other/glean
1:6	fffq	name	עֵשָׂ֔ו	1	rc://*/tw/dict/bible/names/esau
1:7	fzra	keyterm	בְרִיתֶ֔⁠ךָ	1	rc://*/tw/dict/bible/kt/covenant
1:7	ev92		הִשִּׁיא֛וּ⁠ךָ	1	rc://*/tw/dict/bible/other/deceive
1:7	rhzj		שְׁלֹמֶ֑⁠ךָ	1	rc://*/tw/dict/bible/other/peace
1:7	cg5f		לַחְמְ⁠ךָ֗	1	rc://*/tw/dict/bible/other/bread
1:7	jhg9		מָזוֹר֙	1	rc://*/tw/dict/bible/other/snare
1:8	kyy3	keyterm	יְהוָ֑ה	1	rc://*/tw/dict/bible/kt/yahweh
1:8	xrk3		וְ⁠הַאֲבַדְתִּ֤י	1	rc://*/tw/dict/bible/other/destroyer
1:8	apzb		חֲכָמִים֙	1	rc://*/tw/dict/bible/other/wisemen
