Reference	ID	Tags	OrigWords	Occurrence	TWLink
1:1	ffj3	name	Παῦλος	1	rc://*/tw/dict/bible/names/paul
1:1	gnza	name	Τιμόθεος	1	rc://*/tw/dict/bible/names/timothy
1:1	jbv5		δοῦλοι	1	rc://*/tw/dict/bible/other/servant
1:1	cn3j	keyterm	Χριστοῦ	1	rc://*/tw/dict/bible/kt/christ
1:1	xqcy	keyterm; name	Χριστοῦ Ἰησοῦ	1	rc://*/tw/dict/bible/kt/jesus
1:1	ccvw	keyterm	ἁγίοις	1	rc://*/tw/dict/bible/kt/saint
1:1	xz2z	keyterm	Χριστῷ	1	rc://*/tw/dict/bible/kt/christ
1:1	tcck	keyterm; name	Ἰησοῦ	2	rc://*/tw/dict/bible/kt/jesus
1:1	ubfq	keyterm	ἐν Χριστῷ Ἰησοῦ	1	rc://*/tw/dict/bible/kt/inchrist
1:1	s8dq	name	Φιλίπποις	1	rc://*/tw/dict/bible/names/philippi
1:1	dwxz		ἐπισκόποις	1	rc://*/tw/dict/bible/other/overseer
1:1	yw4d	keyterm	διακόνοις	1	rc://*/tw/dict/bible/kt/deacon
1:2	pu4h	keyterm	χάρις	1	rc://*/tw/dict/bible/kt/grace
1:2	z6f4		εἰρήνη	1	rc://*/tw/dict/bible/other/peace
1:2	w58f	keyterm	Θεοῦ Πατρὸς	1	rc://*/tw/dict/bible/kt/godthefather
1:2	pfr8	keyterm	Κυρίου	1	rc://*/tw/dict/bible/kt/lord
1:2	nwkk	keyterm; name	Ἰησοῦ	1	rc://*/tw/dict/bible/kt/jesus
1:2	a3rs	keyterm	Χριστοῦ	1	rc://*/tw/dict/bible/kt/christ
1:3	xpgk	keyterm	Θεῷ	1	rc://*/tw/dict/bible/kt/god
1:4	e5xf	keyterm	δεήσει	1	rc://*/tw/dict/bible/kt/pray
1:4	c2tb		χαρᾶς	1	rc://*/tw/dict/bible/other/joy
1:4	beu3	keyterm	δέησιν	1	rc://*/tw/dict/bible/kt/pray
1:5	qr9k	keyterm	κοινωνίᾳ	1	rc://*/tw/dict/bible/kt/fellowship
1:5	pj2g	keyterm	εὐαγγέλιον	1	rc://*/tw/dict/bible/kt/goodnews
1:5	v6vy		ἡμέρας	1	rc://*/tw/dict/bible/other/biblicaltimeday
1:6	x5sq	keyterm	ἔργον	1	rc://*/tw/dict/bible/kt/works
1:6	dyuf	keyterm	ἀγαθὸν	1	rc://*/tw/dict/bible/kt/good
1:6	ksvj	keyterm	Χριστοῦ	1	rc://*/tw/dict/bible/kt/christ
1:6	jyzq	keyterm; name	Ἰησοῦ	1	rc://*/tw/dict/bible/kt/jesus
1:6	cv26	keyterm	ἡμέρας Χριστοῦ Ἰησοῦ	1	rc://*/tw/dict/bible/kt/dayofthelord
1:7	adbj		καθώς	1	rc://*/tw/dict/bible/other/like
1:7	px8u	keyterm	δίκαιον	1	rc://*/tw/dict/bible/kt/righteous
1:7	w6he	keyterm	καρδίᾳ	1	rc://*/tw/dict/bible/kt/heart
1:7	gsjs	keyterm	δεσμοῖς	1	rc://*/tw/dict/bible/kt/bond
1:7	qntg	keyterm	εὐαγγελίου	1	rc://*/tw/dict/bible/kt/goodnews
1:7	dkga	keyterm	χάριτος	1	rc://*/tw/dict/bible/kt/grace
1:8	nm9x	keyterm	μάρτυς	1	rc://*/tw/dict/bible/kt/testimony
1:8	raxh	keyterm	Θεός	1	rc://*/tw/dict/bible/kt/god
1:8	dsxz	keyterm	Χριστοῦ	1	rc://*/tw/dict/bible/kt/christ
1:8	amtp	keyterm; name	Χριστοῦ Ἰησοῦ	1	rc://*/tw/dict/bible/kt/jesus
1:9	gaaz	keyterm	προσεύχομαι	1	rc://*/tw/dict/bible/kt/pray
1:9	ykxn	keyterm	ἀγάπη	1	rc://*/tw/dict/bible/kt/love
1:9	djxm		περισσεύῃ	1	rc://*/tw/dict/bible/other/multiply
1:9	hwvv		ἐπιγνώσει	1	rc://*/tw/dict/bible/other/know
1:10	xs32	keyterm	δοκιμάζειν	1	rc://*/tw/dict/bible/kt/test
1:10	zw2k	keyterm	εἰλικρινεῖς	1	rc://*/tw/dict/bible/kt/purify
1:10	d6gg	keyterm	ἀπρόσκοποι	1	rc://*/tw/dict/bible/kt/blameless
1:10	kdgb	keyterm	Χριστοῦ	1	rc://*/tw/dict/bible/kt/christ
1:10	r26h	keyterm	ἡμέραν Χριστοῦ	1	rc://*/tw/dict/bible/kt/dayofthelord
1:11	xf82		καρπὸν	1	rc://*/tw/dict/bible/other/fruit
1:11	drub	keyterm	δικαιοσύνης	1	rc://*/tw/dict/bible/kt/righteous
1:11	fu92	keyterm; name	Ἰησοῦ	1	rc://*/tw/dict/bible/kt/jesus
1:11	qcne	keyterm	Χριστοῦ	1	rc://*/tw/dict/bible/kt/christ
1:11	ehzr	keyterm	δόξαν	1	rc://*/tw/dict/bible/kt/glory
1:11	b6d6		ἔπαινον	1	rc://*/tw/dict/bible/other/praise
1:11	c24k	keyterm	Θεοῦ	1	rc://*/tw/dict/bible/kt/god
1:12	r63n		γινώσκειν	1	rc://*/tw/dict/bible/other/know
1:12	mwgq	keyterm	ἀδελφοί	1	rc://*/tw/dict/bible/kt/brother
1:12	c2gq	keyterm	εὐαγγελίου	1	rc://*/tw/dict/bible/kt/goodnews
1:13	g47g	keyterm	δεσμούς	1	rc://*/tw/dict/bible/kt/bond
1:13	cgvp	keyterm	φανεροὺς	1	rc://*/tw/dict/bible/kt/reveal
1:13	jg55	keyterm	Χριστῷ	1	rc://*/tw/dict/bible/kt/christ
1:13	jbhu	keyterm	ἐν Χριστῷ	1	rc://*/tw/dict/bible/kt/inchrist
1:13	ve77		πραιτωρίῳ	1	rc://*/tw/dict/bible/other/palace
1:14	wnsv	keyterm	ἀδελφῶν	1	rc://*/tw/dict/bible/kt/brother
1:14	cfr9	keyterm	Κυρίῳ	1	rc://*/tw/dict/bible/kt/lord
1:14	fhrj	keyterm	ἐν Κυρίῳ	1	rc://*/tw/dict/bible/kt/inchrist
1:14	bbja	keyterm	δεσμοῖς	1	rc://*/tw/dict/bible/kt/bond
1:14	x8wx		τολμᾶν	1	rc://*/tw/dict/bible/other/courage
1:14	wasa	keyterm	λόγον	1	rc://*/tw/dict/bible/kt/wordofgod
1:15	rxrp		φθόνον	1	rc://*/tw/dict/bible/other/envy
1:15	eb9n		ἔριν	1	rc://*/tw/dict/bible/other/strife
1:15	suz2	keyterm	εὐδοκίαν	1	rc://*/tw/dict/bible/kt/good
1:15	zyd5	keyterm	Χριστὸν	1	rc://*/tw/dict/bible/kt/christ
1:15	ptum		κηρύσσουσιν	1	rc://*/tw/dict/bible/other/preach
1:16	xqdu	keyterm	ἀγάπης	1	rc://*/tw/dict/bible/kt/love
1:16	gysd		εἰδότες	1	rc://*/tw/dict/bible/other/know
1:16	snuq	keyterm	εὐαγγελίου	1	rc://*/tw/dict/bible/kt/goodnews
1:16	csvd	keyterm	κεῖμαι	1	rc://*/tw/dict/bible/kt/appoint
1:17	chb9	keyterm	Χριστὸν	1	rc://*/tw/dict/bible/kt/christ
