"system_name","namespace","type_name","system_kind","side_hint","purpose_hint","tick_hint","tick_semantics","evidence","needs_runtime_verification","source"
"CleanupDestroyPreventionSystem","","CleanupDestroyPreventionSystem","system","shared/unknown","events/timing","destroy/cleanup hint","destroy_cleanup","type name heuristic only; verify Unity UpdateInGroup/order and live world","True","https://github.com/Odjit/KindredExtract/blob/main/SystemsQueryExtraction.tt"
"ConsoleDebugViewSystem","","ConsoleDebugViewSystem","system","shared/unknown","unknown; research required","unknown; inspect UpdateInGroup/runtime schedule","unknown","type name heuristic only; verify Unity UpdateInGroup/order and live world","True","https://github.com/Odjit/KindredExtract/blob/main/SystemsQueryExtraction.tt"
"DualSensePCStudioManagerSystem","","DualSensePCStudioManagerSystem","system","shared/unknown","unknown; research required","unknown; inspect UpdateInGroup/runtime schedule","unknown","type name heuristic only; verify Unity UpdateInGroup/order and live world","True","https://github.com/Odjit/KindredExtract/blob/main/SystemsQueryExtraction.tt"
"GreenScreenSystem","","GreenScreenSystem","system","shared/unknown","unknown; research required","unknown; inspect UpdateInGroup/runtime schedule","unknown","type name heuristic only; verify Unity UpdateInGroup/order and live world","True","https://github.com/Odjit/KindredExtract/blob/main/SystemsQueryExtraction.tt"
"Network.Systems.TeleportIncorrectPositionSystem","Network.Systems","TeleportIncorrectPositionSystem","system","shared/unknown","networking","unknown; inspect UpdateInGroup/runtime schedule","unknown","type name heuristic only; verify Unity UpdateInGroup/order and live world","True","https://github.com/Odjit/KindredExtract/blob/main/SystemsQueryExtraction.tt"
"ProjectM.AbilityCastStarted_SetupAbilityTargetSystem_Shared","ProjectM","AbilityCastStarted_SetupAbilityTargetSystem_Shared","type/reference","shared/unknown","ability/casting","unknown; inspect UpdateInGroup/runtime schedule","unknown","type name heuristic only; verify Unity UpdateInGroup/order and live world","True","https://github.com/Odjit/KindredExtract/blob/main/SystemsQueryExtraction.tt"
"ProjectM.AbilityCastStarted_SpawnPrefabSystem_Server","ProjectM","AbilityCastStarted_SpawnPrefabSystem_Server","type/reference","server","ability/casting","spawn lifecycle hint","spawn_lifecycle","type name heuristic only; verify Unity UpdateInGroup/order and live world","True","https://github.com/Odjit/KindredExtract/blob/main/SystemsQueryExtraction.tt"
"ProjectM.AbilityDisableHeightCorrectionSystem_OnDestroy","ProjectM","AbilityDisableHeightCorrectionSystem_OnDestroy","type/reference","shared/unknown","ability/casting","destroy/cleanup hint","destroy_cleanup","type name heuristic only; verify Unity UpdateInGroup/order and live world","True","https://github.com/Odjit/KindredExtract/blob/main/SystemsQueryExtraction.tt"
"ProjectM.AbilityDisableHeightCorrectionSystem_Shared","ProjectM","AbilityDisableHeightCorrectionSystem_Shared","type/reference","shared/unknown","ability/casting","unknown; inspect UpdateInGroup/runtime schedule","unknown","type name heuristic only; verify Unity UpdateInGroup/order and live world","True","https://github.com/Odjit/KindredExtract/blob/main/SystemsQueryExtraction.tt"
"ProjectM.AbilityGroup","ProjectM","AbilityGroup","group","shared/unknown","ability/casting","system-group boundary hint","group_barrier","type name heuristic only; verify Unity UpdateInGroup/order and live world","True","https://github.com/Odjit/KindredExtract/blob/main/SystemsQueryExtraction.tt"
"ProjectM.AbilityInitializeGroup","ProjectM","AbilityInitializeGroup","group","shared/unknown","ability/casting","initialization/baking hint","initialization","type name heuristic only; verify Unity UpdateInGroup/order and live world","True","https://github.com/Odjit/KindredExtract/blob/main/SystemsQueryExtraction.tt"
"ProjectM.AbilityInputSystem","ProjectM","AbilityInputSystem","system","shared/unknown","ability/casting","unknown; inspect UpdateInGroup/runtime schedule","unknown","type name heuristic only; verify Unity UpdateInGroup/order and live world","True","https://github.com/Odjit/KindredExtract/blob/main/SystemsQueryExtraction.tt"
"ProjectM.AbilityMoveGroup","ProjectM","AbilityMoveGroup","group","shared/unknown","ability/casting","system-group boundary hint","group_barrier","type name heuristic only; verify Unity UpdateInGroup/order and live world","True","https://github.com/Odjit/KindredExtract/blob/main/SystemsQueryExtraction.tt"
"ProjectM.AbilityMoveStop_Shared","ProjectM","AbilityMoveStop_Shared","type/reference","shared/unknown","ability/casting","unknown; inspect UpdateInGroup/runtime schedule","unknown","type name heuristic only; verify Unity UpdateInGroup/order and live world","True","https://github.com/Odjit/KindredExtract/blob/main/SystemsQueryExtraction.tt"
"ProjectM.AbilityReactDuringCastGroup","ProjectM","AbilityReactDuringCastGroup","group","shared/unknown","ability/casting","system-group boundary hint","group_barrier","type name heuristic only; verify Unity UpdateInGroup/order and live world","True","https://github.com/Odjit/KindredExtract/blob/main/SystemsQueryExtraction.tt"
"ProjectM.AbilityReactToCastFinishGroup","ProjectM","AbilityReactToCastFinishGroup","group","shared/unknown","ability/casting","system-group boundary hint","group_barrier","type name heuristic only; verify Unity UpdateInGroup/order and live world","True","https://github.com/Odjit/KindredExtract/blob/main/SystemsQueryExtraction.tt"
"ProjectM.AbilityReactToCastStartGroup","ProjectM","AbilityReactToCastStartGroup","group","shared/unknown","ability/casting","system-group boundary hint","group_barrier","type name heuristic only; verify Unity UpdateInGroup/order and live world","True","https://github.com/Odjit/KindredExtract/blob/main/SystemsQueryExtraction.tt"
"ProjectM.AbilityRotateTowardAimDuringCastSystem_Shared","ProjectM","AbilityRotateTowardAimDuringCastSystem_Shared","type/reference","shared/unknown","ability/casting","unknown; inspect UpdateInGroup/runtime schedule","unknown","type name heuristic only; verify Unity UpdateInGroup/order and live world","True","https://github.com/Odjit/KindredExtract/blob/main/SystemsQueryExtraction.tt"
"ProjectM.AbilityRunScriptsSystem","ProjectM","AbilityRunScriptsSystem","system","shared/unknown","ability/casting","unknown; inspect UpdateInGroup/runtime schedule","unknown","type name heuristic only; verify Unity UpdateInGroup/order and live world","True","https://github.com/Odjit/KindredExtract/blob/main/SystemsQueryExtraction.tt"
"ProjectM.AbilityRunScriptsSystem_Client","ProjectM","AbilityRunScriptsSystem_Client","type/reference","client","ability/casting","client-world hint","client_world","type name heuristic only; verify Unity UpdateInGroup/order and live world","True","https://github.com/Odjit/KindredExtract/blob/main/SystemsQueryExtraction.tt"
"ProjectM.AbilityStopSequenceOnInterrupt_Client","ProjectM","AbilityStopSequenceOnInterrupt_Client","type/reference","client","ability/casting","client-world hint","client_world","type name heuristic only; verify Unity UpdateInGroup/order and live world","True","https://github.com/Odjit/KindredExtract/blob/main/SystemsQueryExtraction.tt"
"ProjectM.ActiveJewelCraftingStationSequenceSystem","ProjectM","ActiveJewelCraftingStationSequenceSystem","system","shared/unknown","events/timing","unknown; inspect UpdateInGroup/runtime schedule","unknown","type name heuristic only; verify Unity UpdateInGroup/order and live world","True","https://github.com/Odjit/KindredExtract/blob/main/SystemsQueryExtraction.tt"
"ProjectM.ActiveLightningRodSequenceSystem","ProjectM","ActiveLightningRodSequenceSystem","system","shared/unknown","events/timing","unknown; inspect UpdateInGroup/runtime schedule","unknown","type name heuristic only; verify Unity UpdateInGroup/order and live world","True","https://github.com/Odjit/KindredExtract/blob/main/SystemsQueryExtraction.tt"
